,gvkey,predicted_return,trade_date
0,1380,0.0228473565098274,2001-03-01
1,1661,0.0219022872140174,2001-03-01
2,4430,0.0230508414589847,2001-03-01
3,6788,0.0204980876679096,2001-03-01
4,8151,0.0236740198081719,2001-03-01
5,11506,0.0218351723187687,2001-03-01
6,120093,0.0230433245605175,2001-03-01
7,1380,0.0754064714684506,2001-06-01
8,1678,0.0667286736912387,2001-06-01
9,9465,0.0747840116759304,2001-06-01
10,14934,0.0659623240453622,2001-06-01
11,16478,0.0720377650898509,2001-06-01
12,20548,0.0686781287083095,2001-06-01
13,63892,0.0630636677348424,2001-06-01
14,1380,0.0323239627246581,2001-09-04
15,1661,0.0323239627246581,2001-09-04
16,1678,0.0323239627246581,2001-09-04
17,2991,0.0323239627246581,2001-09-04
18,4430,0.0323239627246581,2001-09-04
19,4503,0.0323239627246581,2001-09-04
20,5439,0.0323239627246581,2001-09-04
21,5581,0.0323239627246581,2001-09-04
22,6788,0.0323239627246581,2001-09-04
23,7620,0.0323239627246581,2001-09-04
24,7938,0.0323239627246581,2001-09-04
25,8068,0.0323239627246581,2001-09-04
26,8151,0.0323239627246581,2001-09-04
27,8549,0.0323239627246581,2001-09-04
28,9465,0.0323239627246581,2001-09-04
29,10504,0.0323239627246581,2001-09-04
30,11506,0.0323239627246581,2001-09-04
31,14934,0.0323239627246581,2001-09-04
32,15247,0.0323239627246581,2001-09-04
33,16478,0.0323239627246581,2001-09-04
34,20548,0.0323239627246581,2001-09-04
35,28338,0.0323239627246581,2001-09-04
36,29173,0.0323239627246581,2001-09-04
37,30923,0.0323239627246581,2001-09-04
38,63892,0.0323239627246581,2001-09-04
39,120093,0.0323239627246581,2001-09-04
40,1380,0.0282072541165297,2001-12-03
41,1661,0.0282072541165297,2001-12-03
42,1678,0.0282072541165297,2001-12-03
43,2991,0.0282072541165297,2001-12-03
44,4430,0.0282072541165297,2001-12-03
45,4503,0.0282072541165297,2001-12-03
46,5439,0.0282072541165297,2001-12-03
47,5581,0.0282072541165297,2001-12-03
48,6788,0.0282072541165297,2001-12-03
49,7620,0.0282072541165297,2001-12-03
50,7938,0.0282072541165297,2001-12-03
51,8068,0.0282072541165297,2001-12-03
52,8151,0.0282072541165297,2001-12-03
53,8549,0.0282072541165297,2001-12-03
54,9465,0.0282072541165297,2001-12-03
55,10504,0.0282072541165297,2001-12-03
56,11506,0.0282072541165297,2001-12-03
57,14934,0.0282072541165297,2001-12-03
58,15247,0.0282072541165297,2001-12-03
59,16478,0.0282072541165297,2001-12-03
60,20548,0.0282072541165297,2001-12-03
61,28338,0.0282072541165297,2001-12-03
62,29173,0.0282072541165297,2001-12-03
63,30923,0.0282072541165297,2001-12-03
64,63892,0.0282072541165297,2001-12-03
65,120093,0.0282072541165297,2001-12-03
66,1380,0.0331327931039179,2002-03-01
67,1661,0.0331327931039179,2002-03-01
68,1678,0.0331327931039179,2002-03-01
69,2991,0.0331327931039179,2002-03-01
70,4430,0.0331327931039179,2002-03-01
71,4503,0.0331327931039179,2002-03-01
72,5439,0.0331327931039179,2002-03-01
73,5581,0.0331327931039179,2002-03-01
74,6788,0.0331327931039179,2002-03-01
75,7620,0.0331327931039179,2002-03-01
76,7938,0.0331327931039179,2002-03-01
77,8068,0.0331327931039179,2002-03-01
78,8151,0.0331327931039179,2002-03-01
79,8549,0.0331327931039179,2002-03-01
80,9465,0.0331327931039179,2002-03-01
81,10504,0.0331327931039179,2002-03-01
82,11506,0.0331327931039179,2002-03-01
83,14934,0.0331327931039179,2002-03-01
84,15247,0.0331327931039179,2002-03-01
85,16478,0.0331327931039179,2002-03-01
86,20548,0.0331327931039179,2002-03-01
87,28338,0.0331327931039179,2002-03-01
88,29173,0.0331327931039179,2002-03-01
89,30923,0.0331327931039179,2002-03-01
90,63892,0.0331327931039179,2002-03-01
91,120093,0.0331327931039179,2002-03-01
92,5439,0.0446591228246688,2002-06-03
93,5581,0.0565463900566101,2002-06-03
94,6788,0.0470443442463874,2002-06-03
95,11506,0.0540688633918762,2002-06-03
96,20548,0.0470443442463874,2002-06-03
97,28338,0.0456374660134315,2002-06-03
98,63892,0.0446591228246688,2002-06-03
99,120093,0.0466994754970073,2002-06-03
100,147398,0.0446591228246688,2002-06-03
101,1661,0.0282664969563484,2002-09-03
102,7620,0.0329166464507579,2002-09-03
103,8068,0.0274940505623817,2002-09-03
104,8151,0.0274940505623817,2002-09-03
105,8549,0.0274940505623817,2002-09-03
106,15247,0.0349784381687641,2002-09-03
107,16478,0.053952682763338,2002-09-03
108,20548,0.0349784381687641,2002-09-03
109,147398,0.0329166464507579,2002-09-03
110,6788,0.0319945159840727,2002-12-02
111,7938,0.0379451069599428,2002-12-02
112,8151,0.0364961191824983,2002-12-02
113,8549,0.0354229224366829,2002-12-02
114,11506,0.0333205168533309,2002-12-02
115,30923,0.0338803463905569,2002-12-02
116,120093,0.0330958918733543,2002-12-02
117,1380,0.0383639521896839,2003-03-03
118,7620,0.0295053925365209,2003-03-03
119,7938,0.0295053925365209,2003-03-03
120,8549,0.0305445492267608,2003-03-03
121,15247,0.0295053925365209,2003-03-03
122,16478,0.0295053925365209,2003-03-03
123,20548,0.0295053925365209,2003-03-03
124,30923,0.0383639521896839,2003-03-03
125,5439,0.0464906245470047,2003-06-02
126,7620,0.0289764087647199,2003-06-02
127,7938,0.0289764087647199,2003-06-02
128,8068,0.0290028396993875,2003-06-02
129,8549,0.0289764087647199,2003-06-02
130,15247,0.0289764087647199,2003-06-02
131,20548,0.0289764087647199,2003-06-02
132,63892,0.0464906245470047,2003-06-02
133,120093,0.0289764087647199,2003-06-02
134,1678,0.0153681307634626,2003-09-02
135,2991,0.0143683389472784,2003-09-02
136,6788,0.018799368961273,2003-09-02
137,7938,0.0122818364961363,2003-09-02
138,8151,0.0129683211841684,2003-09-02
139,14934,0.0163881462158892,2003-09-02
140,15247,0.0124523593561963,2003-09-02
141,5439,0.0198258813642403,2003-12-01
